title,filename
The Tragedy of Antony and Cleopatra,a_and_c.json
All's Well That Ends Well,all_well.json
As You Like It,as_you.json
The Comedy of Errors,com_err.json
The Tragedy of Coriolanus,coriolan.json
Cymbeline,cymbelin.json
A Midsummer Night's Dream,dream.json
The Tragedy of Hamlet  Prince of Denmark,hamlet.json
The First Part of Henry the Fourth,hen_iv_1.json
The Second Part of Henry the Fourth,hen_iv_2.json
The Life of Henry the Fifth,hen_v.json
The First Part of Henry the Sixth,hen_vi_1.json
The Second Part of Henry the Sixth,hen_vi_2.json
The Third Part of Henry the Sixth,hen_vi_3.json
The Famous History of the Life of Henry the Eighth,hen_viii.json
The Tragedy of Julius Caesar,j_caesar.json
The Life and Death of King John,john.json
The Tragedy of King Lear,lear.json
Love's Labour's Lost,lll.json
Measure for Measure,m_for_m.json
The Merry Wives of Windsor,m_wives.json
The Tragedy of Macbeth,macbeth.json
The Merchant of Venice,merchant.json
Much Ado about Nothing,much_ado.json
The Tragedy of Othello  the Moor of Venice,othello.json
Pericles  Prince of Tyre,pericles.json
The Tragedy of Romeo and Juliet,r_and_j.json
The Tragedy of King Richard the Second,rich_ii.json
The Tragedy of Richard the Third,rich_iii.json
Twelfth Night  or What You Will,t_night.json
The Taming of the Shrew,taming.json
The Tempest,tempest.json
The Life of Timon of Athens,timon.json
The Tragedy of Titus Andronicus,titus.json
The History of Troilus and Cressida,troilus.json
The Two Gentlemen of Verona,two_gent.json
The Winter's Tale,win_tale.json
